,Bike#,start_ts,end_ts,Latitude,Longitude,Latitude_end,Longitude_end,Start Station,End Station,Start terminal,End terminal
285,N01697,2013-05-20 10:34:00,2013-05-20 11:25:00,44.9554734,-93.29714298,44.94885,-93.31759,26th Street & Hennepin,Lake Calhoun Center,30044,30089.0
286,N01697,2013-05-21 12:59:00,2013-05-21 13:54:00,44.94885,-93.31759,44.94885,-93.31759,Lake Calhoun Center,Lake Calhoun Center,30089,30089.0
287,N01697,2013-07-28 19:14:00,2013-07-28 19:19:00,44.9485,-93.30520899999999,44.94885,-93.31759,Lake Street & Knox Ave S,Lake Calhoun Center,30158,30089.0
288,N01697,2013-05-25 14:59:00,2013-05-25 15:13:00,44.9485,-93.30520899999999,44.94885,-93.31759,Lake Street & Knox Ave S,Lake Calhoun Center,30158,30089.0
289,N01697,2013-06-01 11:22:00,2013-06-01 11:54:00,44.969225,-93.251136,44.978068,-93.26023,Currie Park,Portland Ave. & Washington Ave.,30037,30090.0
290,N01697,2013-07-14 09:04:00,2013-07-14 09:12:00,44.989166,-93.27651,44.978068,-93.26023,2nd Street N & 8th Ave. N,Portland Ave. & Washington Ave.,30092,30090.0
291,N01697,2013-07-28 13:58:00,2013-07-28 13:59:00,44.977521,-93.256736,44.978068,-93.26023,Chicago Ave & Washington Ave S,Portland Ave. & Washington Ave.,30143,30090.0
292,N01697,2013-07-28 14:09:00,2013-07-28 14:18:00,44.980926000000004,-93.26285,44.982594299999995,-93.26751390000001,South 2nd Street & 3rd Ave. S,Gateway Park,30030,30091.0
293,N01697,2013-05-06 18:15:00,2013-05-06 18:17:00,44.986087,-93.272459,44.989166,-93.27651,North 2nd Street & 4th Ave. N,2nd Street N & 8th Ave. N,30011,30092.0
294,N01697,2013-07-14 06:33:00,2013-07-14 06:36:00,44.98383,-93.27099,44.989166,-93.27651,Washington & 2nd Ave. N,2nd Street N & 8th Ave. N,30021,30092.0
295,N01697,2013-05-13 11:49:00,2013-05-13 12:00:00,44.975640999999996,-93.272185,44.989166,-93.27651,IDS Center,2nd Street N & 8th Ave. N,30042,30092.0
